latin_name,status,year
Melanitta perspicillata,LC,2009
Melanitta perspicillata,LC,2008
Melanitta perspicillata,LC,2004
Melanitta perspicillata,LR/lc,2000
Melanitta perspicillata,LR/lc,1994
Melanitta perspicillata,LR/lc,1988
Clangula hyemalis,VU,2017
Clangula hyemalis,VU,2016
Clangula hyemalis,VU,2012
Clangula hyemalis,LC,2011
Clangula hyemalis,LC,2009
Clangula hyemalis,LC,2008
Clangula hyemalis,LC,2004
Clangula hyemalis,LR/lc,2000
Clangula hyemalis,LR/lc,1994
Clangula hyemalis,LR/lc,1988
Mergus serrator,LC,2016
Mergus serrator,LC,2012
Mergus serrator,LC,2009
Mergus serrator,LC,2008
Mergus serrator,LC,2004
Mergus serrator,LR/lc,2000
Mergus serrator,LR/lc,1994
Mergus serrator,LR/lc,1988
Pluvialis apricaria,LC,2016
Pluvialis apricaria,LC,2012
Pluvialis apricaria,LC,2009
Pluvialis apricaria,LC,2008
Pluvialis apricaria,LC,2004
Pluvialis apricaria,LR/lc,2000
Pluvialis apricaria,LR/lc,1994
Pluvialis apricaria,LR/lc,1988
Pluvialis fulva,LC,2016
Pluvialis fulva,LC,2012
Pluvialis fulva,LC,2009
Pluvialis fulva,LC,2008
Pluvialis fulva,LC,2004
Pluvialis fulva,LR/lc,2000
Pluvialis fulva,LR/lc,1994
Pluvialis fulva,LR/lc,1988
Pluvialis dominica,LC,2016
Pluvialis dominica,LC,2012
Pluvialis dominica,LC,2009
Pluvialis dominica,LC,2008
Pluvialis dominica,LC,2004
Pluvialis dominica,LR/lc,2000
Pluvialis dominica,LR/lc,1994
Pluvialis dominica,LR/lc,1988
Pluvialis squatarola,LC,2017
Pluvialis squatarola,LC,2016
Pluvialis squatarola,LC,2012
Pluvialis squatarola,LC,2011
Pluvialis squatarola,LC,2009
Pluvialis squatarola,LC,2008
Pluvialis squatarola,LC,2004
Pluvialis squatarola,LR/lc,2000
Pluvialis squatarola,LR/lc,1994
Pluvialis squatarola,LR/lc,1988
Charadrius hiaticula,LC,2016
Charadrius hiaticula,LC,2012
Charadrius hiaticula,LC,2009
Charadrius hiaticula,LC,2008
Charadrius hiaticula,LC,2004
Charadrius hiaticula,LR/lc,2000
Charadrius hiaticula,LR/lc,1994
Charadrius hiaticula,LR/lc,1988
Charadrius semipalmatus,LC,2016
Charadrius semipalmatus,LC,2012
Charadrius semipalmatus,LC,2009
Charadrius semipalmatus,LC,2008
Charadrius semipalmatus,LC,2004
Charadrius semipalmatus,LR/lc,2000
Charadrius semipalmatus,LR/lc,1994
Charadrius semipalmatus,LR/lc,1988
Eudromias morinellus,LC,2016
Eudromias morinellus,LC,2012
Eudromias morinellus,LC,2009
Eudromias morinellus,LC,2008
Eudromias morinellus,LC,2004
Eudromias morinellus,LR/lc,2000
Eudromias morinellus,LR/lc,1994
Eudromias morinellus,LR/lc,1988
Limnodromus scolopaceus,LC,2016
Limnodromus scolopaceus,LC,2012
Limnodromus scolopaceus,LC,2009
Limnodromus scolopaceus,LC,2008
Limnodromus scolopaceus,LC,2004
Limnodromus scolopaceus,LR/lc,2000
Limnodromus scolopaceus,LR/lc,1994
Limnodromus scolopaceus,LR/lc,1988
Limosa haemastica,LC,2016
Limosa haemastica,LC,2012
Limosa haemastica,LC,2009
Limosa haemastica,LC,2008
Limosa haemastica,LC,2004
Limosa haemastica,LR/lc,2000
Limosa haemastica,LR/nt,1994
Limosa haemastica,NT,1988
Limosa lapponica,NT,2017
Limosa lapponica,NT,2016
Limosa lapponica,NT,2015
Limosa lapponica,LC,2012
Limosa lapponica,LC,2009
Limosa lapponica,LC,2008
Limosa lapponica,LC,2004
Limosa lapponica,LR/lc,2000
Limosa lapponica,LR/lc,1994
Limosa lapponica,LR/lc,1988
Numenius borealis,CR,2016
Numenius borealis,CR,2015
Numenius borealis,CR,2013
Numenius borealis,CR,2012
Numenius borealis,CR,2009
Numenius borealis,CR,2008
Numenius borealis,CR,2004
Numenius borealis,CR,2000
Numenius borealis,CR,1996
Numenius borealis,CR,1994
Numenius borealis,T,1988
Numenius phaeopus,LC,2016
Numenius phaeopus,LC,2012
Numenius phaeopus,LC,2009
Numenius phaeopus,LC,2008
Numenius phaeopus,LC,2004
Numenius phaeopus,LR/lc,2000
Numenius phaeopus,LR/lc,1994
Numenius phaeopus,LR/lc,1988
Numenius tahitiensis,VU,2016
Numenius tahitiensis,VU,2012
Numenius tahitiensis,VU,2008
Numenius tahitiensis,VU,2006
Numenius tahitiensis,VU,2004
Numenius tahitiensis,VU,2000
Numenius tahitiensis,VU,1996
Numenius tahitiensis,VU,1994
Numenius tahitiensis,T,1988
Tringa erythropus,LC,2016
Tringa erythropus,LC,2015
Tringa erythropus,LC,2012
Tringa erythropus,LC,2009
Tringa erythropus,LC,2008
Tringa erythropus,LC,2004
Tringa erythropus,LR/lc,2000
Tringa erythropus,LR/lc,1994
Tringa erythropus,LR/lc,1988
Tringa incana,LC,2016
Tringa incana,LC,2012
Tringa incana,LC,2009
Tringa incana,LC,2008
Tringa incana,LC,2004
Tringa incana,LR/lc,2000
Tringa incana,LR/lc,1994
Tringa incana,LR/lc,1988
Arenaria interpres,LC,2016
Arenaria interpres,LC,2012
Arenaria interpres,LC,2009
Arenaria interpres,LC,2008
Arenaria interpres,LC,2004
Arenaria interpres,LR/lc,2000
Arenaria interpres,LR/lc,1994
Arenaria interpres,LR/lc,1988
Arenaria melanocephala,LC,2016
Arenaria melanocephala,LC,2012
Arenaria melanocephala,LC,2009
Arenaria melanocephala,LC,2008
Arenaria melanocephala,LC,2004
Arenaria melanocephala,LR/lc,2000
Arenaria melanocephala,LR/lc,1994
Arenaria melanocephala,LR/lc,1988
Calidris virgata,LC,2016
Calidris virgata,LC,2012
Calidris virgata,LC,2009
Calidris virgata,LC,2008
Calidris virgata,LC,2004
Calidris virgata,LR/lc,2000
Calidris virgata,LR/lc,1994
Calidris virgata,LR/lc,1988
Calidris tenuirostris,EN,2016
Calidris tenuirostris,EN,2015
Calidris tenuirostris,VU,2012
Calidris tenuirostris,VU,2010
Calidris tenuirostris,LC,2009
Calidris tenuirostris,LC,2008
Calidris tenuirostris,LC,2004
Calidris tenuirostris,LR/lc,2000
Calidris tenuirostris,LR/lc,1994
Calidris tenuirostris,LR/lc,1988
Calidris canutus,NT,2017
Calidris canutus,NT,2016
Calidris canutus,NT,2015
Calidris canutus,LC,2012
Calidris canutus,LC,2009
Calidris canutus,LC,2008
Calidris canutus,LC,2004
Calidris canutus,LR/lc,2000
Calidris canutus,LR/lc,1994
Calidris canutus,LR/lc,1988
Calidris alba,LC,2016
Calidris alba,LC,2012
Calidris alba,LC,2009
Calidris alba,LC,2008
Calidris alba,LC,2004
Calidris alba,LR/lc,2000
Calidris alba,LR/lc,1994
Calidris alba,LR/lc,1988
Calidris pusilla,NT,2016
Calidris pusilla,NT,2012
Calidris pusilla,LC,2009
Calidris pusilla,LC,2008
Calidris pusilla,LC,2004
Calidris pusilla,LR/lc,2000
Calidris pusilla,LR/lc,1994
Calidris pusilla,LR/lc,1988
Calidris mauri,LC,2016
Calidris mauri,LC,2012
Calidris mauri,LC,2009
Calidris mauri,LC,2008
Calidris mauri,LC,2004
Calidris mauri,LR/lc,2000
Calidris mauri,LR/lc,1994
Calidris mauri,LR/lc,1988
Calidris ruficollis,NT,2016
Calidris ruficollis,NT,2015
Calidris ruficollis,LC,2012
Calidris ruficollis,LC,2009
