common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Ruddy Turnstone,Arenaria interpres,Scolopacidae,Terrestrial,Aves,Terrestrial birds,136,22.3,730,4,1,3,LC,2016,0,0,0,1,1,6,NA,136,16,105,0,2,0,2,4,4,5,3,2,2,4,4,3,6,4,4,7,7,2,3,9,2,4,5,0,4,3,4,1,4,1,1988,8,LR/lc
Black Turnstone,Arenaria melanocephala,Scolopacidae,Terrestrial,Aves,Terrestrial birds,119,NA,NA,4,1,3,LC,2016,0,0,0,1,1,4,NA,119,2,22,0,0,0,1,2,1,1,0,1,0,0,2,1,4,2,0,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1988,8,LR/lc
Surfbird,Calidris virgata,Scolopacidae,Terrestrial,Aves,Terrestrial birds,198,NA,NA,4,NA,3,LC,2016,0,0,0,1,1,3,NA,198,1,7,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1988,8,LR/lc
Great Knot,Calidris tenuirostris,Scolopacidae,Terrestrial,Aves,Terrestrial birds,179,NA,NA,4,NA,2.5,EN,2016,1,1,1,1,17,3,NA,179,13,359,0,0,0,3,9,11,13,7,15,12,18,12,4,12,8,12,15,23,17,17,17,12,18,15,11,13,11,11,15,16,12,1988,10,LR/lc
Red Knot,Calidris canutus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,135,27.3,1095,4,1,3,NT,2017,1,1,1,1,20,6,NA,135,117,479,1,1,1,1,4,7,15,13,7,14,7,11,13,10,14,13,12,19,15,18,29,17,28,40,24,31,25,21,26,30,13,1988,10,LR/lc
Sanderling,Calidris alba,Scolopacidae,Terrestrial,Aves,Terrestrial birds,50,18.6,730,4,1.5,3,LC,2016,0,0,0,1,1,6,NA,50,28,131,2,0,1,5,5,5,6,7,1,3,11,2,3,5,2,4,8,2,3,4,4,4,7,7,4,3,5,6,3,7,2,1988,8,LR/lc
Semipalmated Sandpiper,Calidris pusilla,Scolopacidae,Terrestrial,Aves,Terrestrial birds,27,19.3,365,4,1,3,NT,2016,1,1,1,1,11,6,NA,27,67,251,0,2,1,3,6,3,8,10,5,1,7,8,12,8,10,7,9,2,8,9,10,14,13,10,9,20,15,11,8,15,7,1988,8,LR/lc
Western Sandpiper,Calidris mauri,Scolopacidae,Terrestrial,Aves,Terrestrial birds,26,9.2,730,4,1,3,LC,2016,0,0,0,1,1,6,NA,26,75,312,1,1,1,1,5,0,6,5,5,6,9,11,8,13,8,13,11,9,13,20,17,17,17,12,12,18,21,14,14,13,11,1988,8,LR/lc
Red-necked Stint,Calidris ruficollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,27,5.1,NA,4,1.5,3,NT,2016,1,0,0,1,8,5,NA,27,2,18,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,1,0,1,2,0,3,0,1,1,0,0,1,1,0,1988,9,LR/lc
Little Stint,Calidris minuta,Scolopacidae,Terrestrial,Aves,Terrestrial birds,21,14.7,730,4,2,3,LC,2016,1,1,1,1,12,6,NA,21,7,38,0,0,0,0,1,1,0,2,0,1,3,3,0,1,0,1,1,0,0,0,3,1,3,2,3,3,1,2,3,1,2,1988,8,LR/lc
Temminck's Stint,Calidris temminckii,Scolopacidae,Terrestrial,Aves,Terrestrial birds,23,12.9,455,4,2,3,LC,2016,0,0,1,1,15,6,NA,23,12,20,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,1,2,1,0,3,3,1,0,1988,8,LR/lc
Least Sandpiper,Calidris minutilla,Scolopacidae,Terrestrial,Aves,Terrestrial birds,26,16,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,26,12,318,1,1,0,2,9,4,10,10,6,6,12,14,5,18,12,7,10,7,13,15,20,13,17,19,12,18,9,15,13,9,11,1988,9,LR/lc
White-rumped Sandpiper,Calidris fuscicollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,42,7,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,42,11,50,1,0,0,1,3,1,1,1,0,0,0,2,1,3,2,2,2,1,1,2,3,2,4,3,2,3,0,4,3,1,1,1988,8,LR/lc
Baird's Sandpiper,Calidris bairdii,Scolopacidae,Terrestrial,Aves,Terrestrial birds,39,NA,NA,4,1,3,LC,2016,0,0,0,1,1,4,NA,39,1,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,2,0,1,1,1,1,1988,8,LR/lc
Pectoral Sandpiper,Calidris melanotos,Scolopacidae,Terrestrial,Aves,Terrestrial birds,85,5.9,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,85,7,37,0,0,0,1,1,1,0,0,1,2,1,2,3,2,0,1,0,3,1,2,1,0,2,2,1,2,2,3,1,1,1,1988,8,LR/lc
Sharp-tailed Sandpiper,Calidris acuminata,Scolopacidae,Terrestrial,Aves,Terrestrial birds,68,NA,NA,4,NA,3,LC,2016,0,0,0,1,1,3,NA,68,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1988,9,LR/lc
Curlew Sandpiper,Calidris ferruginea,Scolopacidae,Terrestrial,Aves,Terrestrial birds,58,19.7,1095,4,NA,3,NT,2017,1,1,1,1,25,5,NA,58,14,80,1,0,0,0,3,3,5,6,6,5,3,3,1,5,4,3,4,0,2,2,2,0,1,1,3,3,4,5,0,1,4,1988,10,LR/lc
Purple Sandpiper,Calidris maritima,Scolopacidae,Terrestrial,Aves,Terrestrial birds,65,20.8,1095,4,1,3,LC,2016,0,0,0,1,1,6,NA,65,28,43,0,1,0,2,0,1,3,1,0,2,2,3,1,0,2,2,2,3,0,0,0,1,2,2,1,3,4,1,1,2,1,1988,8,LR/lc
Rock Sandpiper,Calidris ptilocnemis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,84,7.34,365,4,1,3,LC,2016,0,0,0,1,1,6,NA,84,5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,1988,8,LR/lc
Dunlin,Calidris alpina,Scolopacidae,Terrestrial,Aves,Terrestrial birds,53,28.8,730,4,1,3,LC,2017,1,0,1,1,16,6,NA,53,111,377,2,2,4,4,4,8,9,8,4,13,16,8,16,9,12,18,10,13,19,18,21,21,20,10,13,17,13,13,16,23,13,1988,9,LR/lc
Stilt Sandpiper,Calidris himantopus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,57,11.1,730,4,1,3,LC,2016,0,0,0,1,1,6,NA,57,0,23,0,0,0,0,1,1,0,0,2,1,2,1,1,1,0,1,2,0,1,0,2,1,0,0,1,1,0,2,1,0,1,1988,8,LR/lc
Spoon-billed Sandpiper,Calidris pygmaea,Scolopacidae,Terrestrial,Aves,Terrestrial birds,32,NA,NA,4,NA,3,CR,2017,1,1,1,1,15,3,NA,32,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1994,14,VU
Broad-billed Sandpiper,Calidris falcinellus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,37,6.8,NA,4,1,3,LC,2016,1,1,0,1,8,5,NA,37,3,11,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,0,1,1,0,1988,8,LR/lc
Buff-breasted Sandpiper,Calidris subruficollis,Scolopacidae,Terrestrial,Aves,Terrestrial birds,62,NA,NA,4,1,3,NT,2017,1,1,0,1,18,4,NA,62,12,29,0,1,0,1,0,0,0,1,1,0,2,3,1,0,1,3,3,1,1,0,1,1,1,1,1,2,2,1,0,0,0,1988,9,LR/lc
Ruff,Calidris pugnax,Scolopacidae,Terrestrial,Aves,Terrestrial birds,136,13.9,730,4,1,2.5,LC,2016,0,0,0,1,1,6,NA,136,182,376,8,8,6,5,8,3,13,8,9,9,12,10,12,16,15,12,20,10,14,17,16,20,8,15,20,15,18,13,11,11,14,1988,9,LR/lc
Red-necked Phalarope,Phalaropus lobatus,Scolopacidae,Terrestrial,Aves,Terrestrial birds,34,12.9,365,3.955,1.5,3,LC,2016,0,0,0,1,1,6,NA,34,14,46,1,3,1,1,3,0,1,3,1,0,1,1,1,1,1,1,2,4,0,1,1,1,1,1,0,2,3,4,2,3,1,1988,8,LR/lc
Red Phalarope,Phalaropus fulicarius,Scolopacidae,Terrestrial,Aves,Terrestrial birds,56,6.1,363,4,1,3,LC,2016,0,0,0,1,1,6,NA,56,19,59,2,3,1,1,2,2,2,2,1,0,2,2,4,0,1,2,1,4,0,1,5,1,1,3,1,3,2,3,2,4,1,1988,8,LR/lc
Red-throated Loon,Gavia stellata,Gaviidae,Freshwater,Aves,Terrestrial birds,1816,24,1095,2,1,4,LC,2016,0,0,0,1,1,6,NA,1816,19,39,0,2,0,1,1,1,3,4,0,1,1,0,1,1,2,0,0,1,0,1,2,1,2,1,2,2,1,3,3,2,0,1988,8,LR/lc
Black-throated Loon,Gavia arctica,Gaviidae,Freshwater,Aves,Terrestrial birds,2724,28,1095,1.74,2,4,LC,2016,0,0,0,1,1,6,NA,2724,9,19,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,1,2,2,0,1,0,0,2,0,1,0,1,0,1,1988,9,LR/lc
Pacific Loon,Gavia pacifica,Gaviidae,Freshwater,Aves,Terrestrial birds,2665,28,1002,1.95,1.5,4,LC,2016,0,0,0,1,1,6,NA,2665,9,23,0,0,1,0,0,0,1,3,0,1,0,0,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,6,1,0,1,1988,8,LR/lc
Common Loon,Gavia immer,Gaviidae,Freshwater,Aves,Terrestrial birds,3405,24.1,1461,2,1,4,LC,2016,NA,NA,NA,NA,NA,6,NA,3405,116,206,3,3,3,3,3,2,3,7,2,1,5,2,8,5,3,5,7,3,8,15,9,13,7,10,24,7,9,21,8,4,3,1988,8,LR/lc
Yellow-billed Loon,Gavia adamsii,Gaviidae,Freshwater,Aves,Terrestrial birds,5050,30,1095,2,1,4,NT,2016,1,1,0,1,8,6,NA,5050,13,15,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,2,0,1,1988,10,LR/lc
Northern Fulmar,Fulmarus glacialis,Procellariidae,Marine,Aves,Marine birds,908,51,2200,1,1,4,LC,2017,NA,NA,NA,NA,NA,6,NA,908,73,215,2,0,1,4,3,10,5,3,6,5,10,10,10,6,6,8,9,2,9,6,4,8,12,12,11,14,8,11,4,9,7,1988,9,LR/lc
Pelagic Cormorant,Phalacrocorax pelagicus,Phalacrocoracidae,Marine,Aves,Marine birds,2041,17.8,730,4,1,4,LC,2016,0,0,0,1,1,6,NA,2041,6,86,0,0,0,0,4,3,0,0,2,1,3,1,1,3,3,2,2,3,3,2,6,3,3,8,5,11,5,3,3,5,1,1988,8,LR/lc
Great Skua,Catharacta skua,Stercorariidae,Marine,Aves,Marine birds,1340,34.5,2190,2,1,4,LC,2017,0,0,0,1,1,6,NA,1340,69,249,0,1,1,3,5,7,6,4,3,3,15,14,16,9,10,7,12,10,11,8,11,14,15,9,14,4,6,9,7,9,6,1988,9,LR/lc
Pomarine Skua,Stercorarius pomarinus,Stercorariidae,Marine,Aves,Marine birds,694,NA,NA,1.98,1,4,LC,2016,0,0,0,1,1,4,NA,694,2,20,1,0,0,0,1,0,1,0,0,0,3,2,3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,1,1988,8,LR/lc
Parasitic Jaeger,Stercorarius parasiticus,Stercorariidae,Marine,Aves,Marine birds,446,31.1,1200,2,1,4,LC,2016,0,0,0,1,1,6,NA,446,15,54,1,0,1,0,1,0,1,0,2,1,6,7,3,3,3,2,3,3,1,2,1,1,1,0,2,2,0,3,1,2,1,1988,8,LR/lc
