common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Brant Goose,Branta bernicla,Anatidae,Terrestrial,Aves,Terrestrial birds,1163,28.8,730,4,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,4,0,1,4,12,9,6,13,13,15,17,24,10,15,24,13,12,17,17,24,22,14,11,9,13,17,15,11,8,14,10
Red-breasted Goose,Branta ruficollis,Anatidae,Terrestrial,Aves,Terrestrial birds,1150,NA,NA,5.5,1,2,4,VU,2017,1,1,0,1,9,1994,VU,12,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Tundra Swan,Cygnus columbianus,Anatidae,Terrestrial,Aves,Terrestrial birds,6350,24.1,730,4,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,1,0,0,1,2,1,3,0,1,3,1,2,2,5,25,3,4,5,8,7,2,6,3,6,7,4,5,3,6,2
Eurasian Wigeon,Mareca penelope,Anatidae,Terrestrial,Aves,Terrestrial birds,660,35.2,365,8,1,2,6,LC,2017,1,0,1,1,10,1988,LR/lc,9,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,3,0,2,1,2,2,2,2,3,2
Baikal Teal,Sibirionetta formosa,Anatidae,Terrestrial,Aves,Terrestrial birds,350,NA,NA,7.4,1,2,4,LC,2016,1,1,1,1,12,1994,VU,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
Northern Pintail,Anas acuta,Anatidae,Terrestrial,Aves,Terrestrial birds,721,27.4,240,7.5,1,2,6,LC,2017,NA,NA,NA,NA,NA,1988,LR/lc,10,7,1,3,1,5,5,9,10,9,11,12,9,12,14,3,15,17,11,14,17,11,11,11,11,16,15,7,13,6,13,9
Greater Scaup,Aythya marila,Anatidae,Terrestrial,Aves,Terrestrial birds,929,22.1,365,9,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,2,0,0,3,3,3,3,5,4,2,1,5,6,2,5,3,4,5,8,4,6,4,4,6,8,7,6,5,4,5
Steller's Eider,Polysticta stelleri,Anatidae,Marine,Aves,Marine birds,907,23,730,8,1,3,6,VU,2016,1,1,1,1,10,1988,LR/lc,12,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,0,0,1,3,3,1,1,0,2,0,1,3,0,1,0,1
Common Eider,Somateria mollissima,Anatidae,Marine,Aves,Marine birds,2130,37.8,730,4,1,3,6,NT,2016,1,1,1,1,19,1988,LR/lc,9,1,4,7,5,9,6,14,10,12,8,17,11,15,14,18,23,26,17,21,33,31,27,28,31,32,21,30,18,25,36,17
King Eider,Somateria spectabilis,Anatidae,Marine,Aves,Marine birds,1617,18.9,730,5,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,1,0,0,0,0,1,0,0,1,5,1,1,4,4,4,3,5,3,5,9,4,9,8,5,2,4,6,6,2,1
Spectacled Eider,Somateria fischeri,Anatidae,Marine,Aves,Marine birds,1558,18,730,4.7,1,3,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,0,0,0,0,0,1,4,2,3,4,3,4,2,1,0,3,4,2,5,8,0,3,2,3,2,1,0
